true_label,add_item,affirm,afternoon,ask_item_info,ask_item_price,ask_options,ask_price,availability_query,browse_category,browse_menu,cancel_order,cart_item_query,change_quantity,checkout,clear_cart,confirm_order,deny,done_ordering,evening,finish_order,goodbye,gratitude,greeting,modify_item,morning,night,order_error_status,order_placement_status,order_processing_status,order_status,order_status_general,payment_done,payment_methods_query,payment_request,payment_status,recommendation_query,remove_item,replace_item,restaurant_info_query,review_order,show_cart,show_total,undo_last,unknown
night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order_error_status,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49,0,1,0,0,4,0,0,0,1,0,0,0,0,0
order_placement_status,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,8,0,0,0,0,0,0,0,0,0
order_processing_status,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,2
order_status,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order_status_general,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,1,1,2,0,0,1
payment_done,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,69,0,0,3,0,0,0,0,0,0,0,0,0
payment_methods_query,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,1,0,0,0,0,0,0,0,0
payment_request,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
payment_status,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,102,0,0,0,0,0,0,0,0,0
recommendation_query,0,0,0,0,0,0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,1,0,0,0
remove_item,126,0,0,3,0,0,0,0,0,0,3,0,9,0,16,0,1,0,0,0,0,0,0,493,0,0,0,0,0,0,0,0,1,0,0,0,1455,0,0,0,0,0,6,0
replace_item,163,0,0,20,0,0,0,0,1,0,0,17,329,0,1,0,2,0,0,0,0,0,0,1680,0,0,0,0,0,1,0,0,0,0,0,0,34,1014,0,0,0,0,0,0
restaurant_info_query,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
review_order,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,16,26,0,1,0
show_cart,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,51,0,0,1
show_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,0,0
undo_last,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,37,4
unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
